imagePath,Country,Annotator ID
000000000139.jpg,India,2
000000000285.jpg,US,3
000000000632.jpg,India,4
000000000724.jpg,US,2
000000000776.jpg,Japan,5
000000000785.jpg,US,5
000000000802.jpg,Japan,1
000000000872.jpg,US,4
000000000885.jpg,US,3
000000001000.jpg,Japan,5
000000001268.jpg,US,3
000000001296.jpg,UK,2
000000001353.jpg,UK,2
000000001425.jpg,India,3
000000001490.jpg,India,2
000000001503.jpg,India,3
000000001532.jpg,US,5
000000001584.jpg,India,3
000000001675.jpg,US,2
000000001761.jpg,India,3
000000001818.jpg,India,2
000000001993.jpg,Japan,5
000000002006.jpg,India,3
000000002149.jpg,Japan,4
000000002153.jpg,UK,2
000000002157.jpg,India,1
000000002261.jpg,UK,1
000000002299.jpg,US,3
000000002431.jpg,UK,2
000000002473.jpg,US,5
000000002532.jpg,UK,3
000000002587.jpg,India,4
000000002592.jpg,US,1
000000002685.jpg,Japan,3
000000002923.jpg,UK,1
000000003156.jpg,Japan,1
000000003255.jpg,India,4
000000003501.jpg,India,3
000000003553.jpg,India,4
000000003661.jpg,Japan,1
000000003845.jpg,India,4
000000003934.jpg,US,2
000000004134.jpg,Japan,4
000000004395.jpg,US,5
000000004495.jpg,UK,1
000000004765.jpg,India,5
000000004795.jpg,India,2
000000005001.jpg,US,3
000000005037.jpg,US,5
000000005060.jpg,UK,5
000000005193.jpg,India,2
000000005477.jpg,Japan,2
000000005503.jpg,US,1
000000005529.jpg,US,3
000000005586.jpg,UK,2
000000005600.jpg,US,2
000000005992.jpg,US,1
000000006012.jpg,India,4
000000006040.jpg,Japan,1
000000006213.jpg,UK,3
000000006460.jpg,UK,2
000000006471.jpg,UK,1
000000006614.jpg,UK,3
000000006723.jpg,US,1
000000006763.jpg,US,3
000000006771.jpg,Japan,2
000000006818.jpg,UK,1
000000006894.jpg,Japan,5
000000006954.jpg,US,4
000000007088.jpg,Japan,4
000000007108.jpg,India,1
000000007278.jpg,India,2
000000007281.jpg,UK,3
000000007386.jpg,Japan,3
000000007511.jpg,US,5
000000007574.jpg,Japan,4
000000007784.jpg,US,3
000000007795.jpg,US,2
000000007816.jpg,India,1
000000007818.jpg,Japan,3
000000007888.jpg,US,3
000000007977.jpg,UK,1
000000007991.jpg,Japan,4
000000008021.jpg,UK,4
000000008211.jpg,India,4
000000008277.jpg,Japan,1
000000008532.jpg,India,5
000000008629.jpg,Japan,4
