imagePath,Country,Annotator ID
000000000724.jpg,US,2
000000000785.jpg,US,5
000000000885.jpg,US,3
000000001532.jpg,US,5
000000003553.jpg,India,4
000000006471.jpg,UK,1
000000007108.jpg,India,1
000000007816.jpg,India,1
000000008762.jpg,UK,4
000000009769.jpg,UK,3
000000011122.jpg,India,2
000000012120.jpg,US,2
000000013348.jpg,UK,1
000000014226.jpg,Japan,3
000000015272.jpg,India,5
000000015440.jpg,India,4
000000020059.jpg,India,3
000000022396.jpg,Japan,1
000000023272.jpg,UK,5
000000023359.jpg,US,4
000000024919.jpg,Japan,3
000000025593.jpg,India,5
000000026204.jpg,US,4
000000032570.jpg,UK,5
000000033759.jpg,Japan,2
000000036678.jpg,US,1
000000037689.jpg,Japan,5
000000038118.jpg,India,3
000000040036.jpg,US,1
000000041633.jpg,US,4
000000043435.jpg,India,1
000000043816.jpg,Japan,3
000000044195.jpg,India,4
000000044260.jpg,India,4
000000044699.jpg,Japan,2
000000046252.jpg,UK,2
000000047010.jpg,US,2
000000048924.jpg,Japan,2
000000049269.jpg,India,1
000000049761.jpg,UK,1
000000049810.jpg,Japan,2
000000050380.jpg,India,5
000000051309.jpg,Japan,5
000000051712.jpg,India,1
000000052507.jpg,UK,2
000000053626.jpg,US,5
000000054592.jpg,India,2
000000054593.jpg,India,5
000000057027.jpg,Japan,4
000000057149.jpg,Japan,2
